被评论的商品ID,被评论的商品类别,评论账号,评论人的URL,评论内容,评论地点,评论时间,评论URL,评论来源,标签,采集日期,评价
NULL,NULL,j***n,NULL,好东西，用这个去香港省不少车费,NULL,2014-08-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,a***梵,NULL,取票方便，还送一张港铁路线图！好评！,NULL,2014-08-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,p***w,NULL,经济实惠，方便好用，特别适合一天内去多个地方的香港自由行。,NULL,2014-08-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,章***5,NULL,很划算，比直接在地铁站买要便宜，不错，第二次买了,NULL,2014-08-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***3,NULL,符合情况，一天内不限次数乘坐，不用担心香港地铁贵，很好。,NULL,2014-08-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,I***哥,NULL,真的很值，是真的，已经第三次购买了,NULL,2014-08-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,8***8,NULL,预约速度挺快的，今天在扣扣上预约，明天就可以拿了挺快的，取票地址：深圳市罗湖区罗湖口岸地铁口地铁负二层楼A出闸口右边鹰通航空 不用上楼 地铁站买票这一层 取票时间：早八晚五这个时间段 电话0755-25887387 直接过来我们店里取票就可以了 预约速度挺快的，今天在扣扣上预约，明天就可以拿了挺快的，取票地址：深圳市罗湖区罗湖口岸地铁口地铁负二层楼A出闸口右边鹰通航空 不用上楼 地铁站买票这一层 取票时间：早八晚五这个时间段 电话0755-25887387 直接过来我们店里取...展开全部,NULL,2014-08-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,还可以。出关就不用再买票。很适合在香港乱跑的人。,NULL,2014-08-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,陈***1,NULL,换票、签注很方便，也很优惠，客服服务态度也很好，下次去还选她家。,NULL,2014-07-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,林***娜,NULL,车卡是年底到期的.买了还可以放几个月再用!感觉还是很不错的!,NULL,2014-07-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***秀,NULL,在网上找这个的时候，看见一个客户给的差评，让大家千万别买，我是感觉很忐忑的，但是我以前买过还行呀，于是就买了。我按照网上的加QQ号，结果在QQ上预约足足等了3个小时也没有人回应，其中我又打了N次电话，接话员总是说让我等等，因为人很多，我很火呀，3个小时呀，最后说不是这个qq，要我加另一个QQ，弄了3个多小时才预约上，真是悲哀！！！ 在网上找这个的时候，看见一个客户给的差评，让大家千万别买，我是感觉很忐忑的，但是我以前买过还行呀，于是就买了。我按照网上的加QQ号，结果在QQ上预约足足等了3个小时也没有人回应，其中我又打了N次电话，接话员总是说让我等等，因为人很多，我很火...展开全部,NULL,2014-07-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,F***猫,NULL,很麻烦！！！千万别买！！！是我见过最烦神烦的团购啊！还说什么销量大 扯淡啊 关键是和在香港买价格也差不多！！！,NULL,2014-06-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***7,NULL,优惠方便很好 希望价格再优惠些 qq预约的人态度很不错 电话的就麻麻,NULL,2014-06-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2236967&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,G***g,NULL,第二次来五台山了，上次也是用的团购券。虽然今年的团购券便宜了一些，但景点有些缩水，少了显通寺，而且餐费也比去年贵了。不过好在导游还是一如既往的专业，讲解很用心也很专业，所以两天的旅行还是很满意的。,NULL,2015-04-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=5083506&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,背***Y,NULL,价格合适 风景优美 泰式风情 值得回味,NULL,2014-09-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6000090&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,极***音,NULL,红叶不是很多！爬爬山还是不错的！呼吸新鲜的空气！,NULL,2014-10-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***0,NULL,景点一般，三个小时就完事，顶峰的悬空玻璃不错,NULL,2014-10-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,态度好，晚上8点打客服都有人接。玩得开心，看到松鼠了！,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,D***i,NULL,爬山好累啊 没什么景色 都是大山 就是爬到山顶的时候 那个景色还可以 众山一览无余,NULL,2014-09-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,李***3,NULL,山不太高，挺好爬，空气很清新，遗憾的是山上没有水。9月7日去的，没看见红叶，如果十.一去风景会更好。,NULL,2014-09-10,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,不好，非常不好，先说风景吧，风景还可以，山很矮，来回正常走一个小时就够了，再说服务，根本没服务，坐的是不知道哪来的接单位通勤的小车，还没有导游，后来知道有大巴车，导游在大车上，而且导游一点不负责，就拿了门票，什么也没跟我们介绍，你要忙不过来不能来个别的导游吗？旅行社就一个导游吗？就不能弄个大巴吗？还有司机，第一次去景点，不认识路，去的时候用两个半小时才到，回来用了三个小时，还跟我们说有人告诉了一条路可以少走十多公里，那你倒是走啊，车上还没有帘子，一路上大太阳晒得都要中暑了，还没空调，出去一天，在车上比爬山时间都长，我们花60块钱坐车去了吗？简直就是遭罪。真的是非常非常失败的一次游玩，以后也不会再选这家旅行社，希望还有要团购的朋友预约的时候一定要问详细，否则真的自己受苦，真的希望旅行社能给个满意的答复，不然这样早晚得黄。 不好，非常不好，先说风景吧，风景还可以，山很矮，来回正常走一个小时就够了，再说服务，根本没服务，坐的是不知道哪来的接单位通勤的小车，还没有导游，后来知道有大巴车，导游在大车上，而且导游一点不负责，就拿了门票，什么也没跟我们介绍，你要忙不过来...展开全部,NULL,2014-09-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,沉***的,NULL,总体还不错，就是没有湖，都是树，就显得单调了一些,NULL,2014-06-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6034948&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,n***t,NULL,到法门寺的时间太晚了，都快到下午4点了，看得太仓促！,NULL,2015-01-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,n***t,NULL,还可以，一日游到法门寺的时间太晚。,NULL,2014-12-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,闷***罐,NULL,紧张的一天，很累。没体力就西上西下，有体力就西上北下。北上西下，时间上不是很充足,NULL,2014-12-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***8,NULL,茂陵和乾陵其实只是远观， 亮点就是法门寺，总的来说还不错。,NULL,2014-12-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,中***蓓,NULL,纯玩线路，不增加任何自费景点，无进店消费，承诺的和网上一样,NULL,2014-12-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,林***滴,NULL,每次都要早起有点头疼 期待明天旅行顺利,NULL,2014-10-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***e,NULL,只能说去的那天下雨雾蒙蒙的 走马观花 午餐25一个人 超级坑爹 荤菜只有一条瘦小的鱼和几个四喜丸子 竟然把榨菜都算一道菜 讲解前后矛盾 在车上时候貌似还要看提示 下次有机会再去不会选他们家了,NULL,2014-10-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***7,NULL,便宜了不少，就是司机有点蛋疼。。。,NULL,2014-10-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,光***雾,NULL,赶紧很值得，就是每个景点有些赶,NULL,2014-10-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,L***n,NULL,旅途比较遥远，各种墓地，赶脚基本是不喜勿入啊…,NULL,2014-09-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,猪***特,NULL,景点分散，适合一日游，导游安排的很好。,NULL,2014-09-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,采***羊,NULL,团购的，性价比特别高，全程无购物，中饭吃的也算实惠，不坑爹，导游小赵很好，麻利爽快，讲的也不错，靠谱,NULL,2014-08-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,蛙***1,NULL,安排合理，导游素质也还行，我一直和一个叫小赵的联系，帮我安排行程，不管几点打电话态度都很好！虽然会进一两个店但不强迫，整个旅程还是很好的。,NULL,2014-08-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,r***r,NULL,导游负责，各个景区时间控制很好，只是上车你还要交30元电瓶车钱，和25元午餐费，觉得午餐不值25,NULL,2014-08-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,陶***0,NULL,转来转去接人，等得心焦，司机素质不好车上老抽烟，导游讲解急匆匆没专业知识,NULL,2014-05-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,g***e,NULL,导游挺负责的，态度也不错。,NULL,2014-04-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***2,NULL,不错，我们团了兵马俑后又团了法门寺这条线路。整个旅游玩耍开心。一次有朋友来一定还会团购这家旅行社,NULL,2014-04-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2223211&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,不错噢，比开车划算很多，导游也很好。,NULL,2015-04-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6048194&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***6,NULL,态度很好，房间也不错，就是搞不懂酒店保安说我们住的是什么业主房，不是酒店的房，停车要另外收费，到第二天中午12点要15块，不过总体来说还是值得。,NULL,2014-11-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***猪,NULL,这家酒店有分业主房、酒店房，原来在网上订的是业主房，业主房的打扫房间进度完全跟不上，闲时淡季都这样，网上写3点半入住，要我们再三催促，等到差不多5点才有人过来打扫。搞到我们游泳回来都没得洗澡，水淋淋的在外面等，真不人性化。,NULL,2014-11-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,a***8,NULL,提前订了3间房，去到前台说没有登记，太差劲了。后来打电话客服浪费大半小时！酒店环境还是可以的，走廊卫生一班，地面灰尘多。,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,可***周,NULL,整体还可以，但是在修路不好走，另外打渔项目离酒店还有不短的距离，不方便。,NULL,2014-08-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,乜***笋,NULL,不错，虽然订的是湾景。就是这个时候人多到离谱,NULL,2014-08-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,王***友,NULL,住的酒店还行，因为还是淡季，海景房也只是两百多，沙滩就不怎么样了，海水也不怎么干净，不适合游泳，还好酒店无边际泳池可以弥补这硬伤。,NULL,2014-07-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6081794&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,玲***N,NULL,游乐设施完善，不足的是不一样的孩子票价一样,NULL,2015-04-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,红***链,NULL,儿子玩的特别开心！比当时套票价便宜9元,NULL,2015-04-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,u***e,NULL,人太多！！！！！！！！！！！！！！！！！！！！！！！！,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,仲***仲,NULL,票价贵，不人性化，大人陪孩子也要全价票！服务人员太死心眼！,NULL,2015-04-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,嗨***朵,NULL,带孩子玩的很开心开心,NULL,2015-04-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,学***2,NULL,孩子非常高兴，不用家长陪同。给赞，工作人员很热心。,NULL,2015-04-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***n,NULL,不管多大的孩子都要买票，而且还要家长陪同！真是穷疯了！！,NULL,2015-04-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,很多项目不完全  在公园买通票99  孩子小等于大人也要再买一套  一点都不合适其他地方都是可以大人陪同  孩子小的都要买两张票一点点都不值得,NULL,2015-04-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,o***k,NULL,比正常买便宜点，好多玩的需要大人陪同，不值,NULL,2015-04-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,高***9,NULL,很超值，孩子玩的很开心，有机会还会再来。,NULL,2015-04-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,梅***5,NULL,团购的券，这边一两岁的宝宝都是需要买票的，感觉很不合理，抱着宝宝得买两张票。淘气堡 小点的宝宝根本没有办法玩，还有旱冰场小宝宝也玩不了。买了2张，旱冰和淘气堡都没有玩,NULL,2015-04-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,佳***梦,NULL,有很多东西都得大人陪着，不然就不让小朋友玩，大人陪着还得再买一张票，变相挣钱,NULL,2015-04-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,j***1,NULL,还算不错，买了两张票，浪费了，下次长记性,NULL,2015-04-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***n,NULL,不划算，有的项1.2以下玩不了，只能作废,NULL,2015-04-01,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,邮***宋,NULL,好！！！！！！！！！！！！！！,NULL,2015-03-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***3,NULL,非常满意！孩子很开心，自控飞机项目，孩子身高不足1.3米，需大人陪伴，亲们休息了。,NULL,2015-03-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,s***x,NULL,十分商业化 家长陪同太小的宝宝 还要单独买票,NULL,2015-03-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,轻***0,NULL,什么玩意儿啊，去了有一种被坑的感觉。,NULL,2015-03-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***5,NULL,比单买划算，套票现场卖99，团购优惠力度不大，只有9元,NULL,2015-03-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,i***3,NULL,有正在维修的项目哦！大部分都不错。孩子到100比较划算,NULL,2015-03-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,还不错，多次去了。孩子还挺喜欢。再优惠点的,NULL,2015-03-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***0,NULL,不错，就是有的项目不能玩儿，还得打包买,NULL,2015-03-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***6,NULL,很一般，没什么可说的，不会再去。,NULL,2015-03-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,E***7,NULL,不好的就是小孩大人陪也要票 。。。。。。,NULL,2015-02-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,可以。冬天开的少！！！！！！！！！,NULL,2015-02-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Q***7,NULL,环境好，但是还是小贵，不值它的单价，通票还凑合,NULL,2015-02-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,j***2,NULL,还好吧……小孩儿玩得挺高兴的^_^,NULL,2015-02-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,f***7,NULL,带孩子去还是不错的，比欢乐谷少的是人，多的是新鲜空气。,NULL,2015-02-09,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,p***b,NULL,假日去的，人好多，设施偏旧，团购还是稍便宜一些,NULL,2015-02-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***5,NULL,孩子玩的很开心，就是很多项目都浪费了……,NULL,2015-02-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***8,NULL,比现场买票便宜很多，满意。。。,NULL,2015-01-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,交通不太方便，感觉有点小贵，不过孩子还是比较喜欢,NULL,2015-01-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Q***7,NULL,孩子很高兴，就是冷了没什么人！里面也大也安静！服务人员态度很好,NULL,2015-01-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***g,NULL,还不错，分4个区，大人小孩都有的玩,NULL,2014-12-31,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***g,NULL,一边非常刺激！一边孩子玩的！怎么都行！有点贵,NULL,2014-12-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,皎***8,NULL,有些骗人的感觉，家长必须花钱买票陪同，不是通票,NULL,2014-12-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,1***利,NULL,挺好！在里面骑自行车感觉超好！,NULL,2014-11-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***s,NULL,不错的地方，人少，设施比较新，可以来！总之还很值的,NULL,2014-11-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***2,NULL,一般，太小玩的太少，孩子一米了还必须所有项目都得大人陪着，包括旋转木马,NULL,2014-11-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***0,NULL,说实话有点小贵，真心觉得有些坑爹，怀里抱着的孩子也算票，真不如欢乐谷,NULL,2014-11-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***8,NULL,还好吧，但总体价位较贵，溜冰场实在太差了，鞋子务必脏，所有护具都是坏的。,NULL,2014-11-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,豆***n,NULL,环境好，小朋友玩的很开心，值得再去!,NULL,2014-10-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***9,NULL,特别特别不粗，小朋友玩的很开心,NULL,2014-10-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***l,NULL,团购价格还可以，单项买票有些贵,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***y,NULL,小孩玩的东西，比一个个买要实惠多了 。,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***u,NULL,原来返现还得评价，总体来说不错，地方比较大，不显人多。游乐设施还不错。,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***6,NULL,不用进城就能满足孩子的快乐需求，强力给赞！,NULL,2014-10-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,g***r,NULL,"不如欢乐时光区域套票划算,适合小小孩",NULL,2014-10-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,差评，套票很多项目有身高限制，孩子身高不够的要大人也购票进入，而且套票上也没有任何说明，价格还贼贵，比市里大的游乐园差远了。通州啊。。。。,NULL,2014-09-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***6,NULL,优惠了9元钱，换票地址不好找。孩子玩得很开心,NULL,2014-09-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6293119&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
